Date,Canal,Category,Subcategory,Subcategory2,Marca,Modelo,SKU,UPC,Item,URL SKU,Image,Price,Sales Price,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price
18/10/2022,Etiendas3b,Vinos,Bebidas,,Castillo del Rhin,Vino Blanco Afrutado Castillo del Rhin,20913,7501053640210,"Vino Blanco Afrutado Castillo del Rhin, 750 ml ",https://www.etiendas3b.com.mx/producto/vino-blanco-afrut11-5-castillo-del-rhin,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/1656711464~20913-1.png,90.0,90.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501053640210,90.0
18/10/2022,Etiendas3b,Verduras,Perecederos,,Frescos 3B,Malla de Chiles serranos Frescos 3B,18619,7502261267466,Malla de Chiles serranos Frescos 3B,https://www.etiendas3b.com.mx/producto/chile-serrano-frescos-3b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18619-0.jpg,4.5,4.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261267466,4.5
18/10/2022,Etiendas3b,Velas,Mercancias Generales,,Candelaria,Veladora Ecológica grande Candelaria 1 unidad,21128,7502261269644,Veladora Ecológica grande Candelaria 1 unidad,https://www.etiendas3b.com.mx/producto/veladora-ecologica-grande-candelaria,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1663740702~21128-1.jpg,45.0,45.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261269644,45.0
18/10/2022,Etiendas3b,Vinos,Bebidas,,Salutzo,Vino Suave Afrutado Salutzo sabor Sangria 750 Ml,20078,7501053654255,Vino Suave Afrutado Salutzo sabor Sangria 750 Ml,https://www.etiendas3b.com.mx/producto/salutzo-vino-sanfria-750ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/20078-1.jpg,50.0,50.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501053654255,50.0
18/10/2022,Etiendas3b,Vinos,Bebidas,,Valle del Sol,Vino tinto Afrutado Valle del Sol,20914,7501053149348,"Vino tinto Afrutado Valle del Sol, 750 ml",https://www.etiendas3b.com.mx/producto/vino-tinto-afrut-10-5-valle-del-sol,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/1656712148~20914-1.png,90.0,90.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501053149348,90.0
18/10/2022,Etiendas3b,Bebidas,Vinos,,Salutzo,Vino dulce Salutzo fresa,21288,7501053654231,"Vino dulce Salutzo fresa, 750ml",https://www.etiendas3b.com.mx/producto/vino-dulce-fresa-4-5-salutzo,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1665077113~21288-1.jpg,50.0,50.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501053654231,50.0
18/10/2022,Etiendas3b,Perecederos,Verduras,,Frescos 3B,Papa Alpha Frescos 3B,18597,7502261267459,"Papa Alpha Frescos 3B, 1 unidad",https://www.etiendas3b.com.mx/producto/papa-alpha-frescos-3b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18597-0.jpg,10.0,10.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261267459,10.0
18/10/2022,Etiendas3b,Verduras,Perecederos,,Frescos 3B,Cebolla blanca Frescos 3B,18549,7502261267428,"Cebolla blanca Frescos 3B, 1 unidad",https://www.etiendas3b.com.mx/producto/cebolla-blanca-frescos-3b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18549-0.jpg,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261267428,12.0
18/10/2022,Etiendas3b,Perecederos,Verduras,Los más vendidos,Frescos 3B,Aguacate Variedad Frescos 3B ,18714,7502261267503,Aguacate Variedad Frescos 3B ,https://www.etiendas3b.com.mx/producto/auacate-variedad-frescos-3b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18714-0.jpg,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261267503,12.0
18/10/2022,Etiendas3b,Velas,Mercancias Generales,,Candelaria,Veladora Envuelta Candelaria 1Unidad,8294,7502227989968,Veladora Envuelta Candelaria 1Unidad,https://www.etiendas3b.com.mx/producto/veladora-envuelta-candelaria-1unidad,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/8294-1.jpg,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502227989968,12.0
